DIA,MES,ANO,HORA,VELOCIDAD VIENTO,DIR. VIENTO,TEMPERATURA,HUMEDAD RELATIVA,PRESION BARIOMETRICA,PRECIPITACIONES
1,4,2019,12,0.95,62.0,11.6,74,944,0.0
1,4,2019,13,1.02,138.0,13.1,66,944,0.0
1,4,2019,14,0.98,154.0,14.5,60,944,0.0
1,4,2019,15,1.1,158.0,15.7,53,943,0.0
1,4,2019,16,1.27,104.0,16.1,51,943,0.0
1,4,2019,17,1.21,140.0,15.9,51,942,0.0
1,4,2019,18,1.0,144.0,16.3,48,942,0.0
1,4,2019,19,1.04,193.0,17.2,46,942,0.0
1,4,2019,20,0.94,142.0,16.7,46,942,0.0
1,4,2019,21,0.61,211.0,15.6,50,943,0.0
1,4,2019,22,0.5,223.0,14.1,55,943,0.0
1,4,2019,23,0.79,237.0,13.6,57,944,0.0
1,4,2019,24,1.25,199.0,13.1,58,944,0.0
1,4,2020,1,0.55,60.0,8.8,93,939,0.0
1,4,2020,2,0.57,73.0,9.0,93,939,0.1
1,4,2020,3,0.58,43.0,8.7,94,940,0.0
1,4,2020,4,0.69,63.0,8.6,92,940,0.0
1,4,2020,5,0.52,77.0,8.8,92,940,0.0
1,4,2020,6,0.57,68.0,8.6,93,939,0.0
1,4,2020,7,0.57,56.0,8.7,93,939,0.0
1,4,2020,8,0.52,193.0,8.8,93,940,0.0
1,4,2020,9,0.59,64.0,8.8,93,940,0.0
1,4,2020,10,0.82,60.0,9.0,93,941,0.0
1,4,2020,11,1.07,98.0,9.8,90,941,0.1
1,4,2020,12,1.5,187.0,10.1,87,941,0.1
1,4,2020,13,1.47,213.0,10.0,84,941,0.0
1,4,2020,14,1.7,227.0,11.9,69,941,0.0
1,4,2020,15,1.81,234.0,13.4,58,941,0.0
1,4,2020,16,1.68,213.0,14.0,53,940,0.0
1,4,2020,17,1.94,223.0,14.1,52,940,0.0
1,4,2020,18,2.15,213.0,13.7,52,940,0.0
1,4,2020,19,1.91,212.0,14.4,48,940,0.0
1,4,2020,20,1.87,235.0,13.2,49,940,0.0
1,4,2020,21,0.97,229.0,12.2,52,940,0.0
1,4,2020,22,0.51,217.0,10.4,59,940,0.0
1,4,2020,23,0.52,234.0,8.5,67,941,0.0
1,4,2020,24,0.53,39.0,8.2,70,941,0.0
1,4,2021,1,1.64,64.0,16.5,37,948,0.0
1,4,2021,2,1.72,61.0,16.1,34,947,0.0
1,4,2021,3,1.98,66.0,15.9,34,946,0.0
1,4,2021,4,1.49,61.0,15.0,38,946,0.0
1,4,2021,5,1.22,58.0,14.5,37,946,0.0
1,4,2021,6,0.95,52.0,14.3,36,946,0.0
1,4,2021,7,1.15,62.0,14.0,37,946,0.0
1,4,2021,8,1.55,61.0,13.7,38,946,0.0
1,4,2021,9,1.36,70.0,13.6,38,946,0.0
1,4,2021,10,1.52,69.0,14.2,37,945,0.0
1,4,2021,11,2.13,64.0,15.3,35,945,0.0
1,4,2021,12,1.33,75.0,16.2,34,946,0.0
1,4,2021,13,1.95,70.0,16.9,32,945,0.0
1,4,2021,14,1.8,78.0,19.6,29,944,0.0
1,4,2021,15,1.34,80.0,21.5,27,944,0.0
1,4,2021,16,1.51,158.0,22.9,25,944,0.0
1,4,2021,17,1.99,229.0,22.7,25,943,0.0
1,4,2021,18,2.03,202.0,22.9,25,943,0.0
1,4,2021,19,1.71,218.0,22.7,27,943,0.0
1,4,2021,20,1.34,218.0,21.3,32,943,0.0
1,4,2021,21,0.96,218.0,20.0,37,943,0.0
1,4,2021,22,1.04,227.0,18.9,41,943,0.0
1,4,2021,23,0.55,228.0,17.4,46,944,0.0
1,4,2021,24,1.29,237.0,16.7,49,944,0.0
1,5,2019,1,0.65,254.0,20.1,31,944,0.0
1,5,2019,2,0.83,176.0,19.2,32,944,0.0
1,5,2019,3,0.66,160.0,17.9,36,944,0.0
1,5,2019,4,0.63,1.0,16.0,42,943,0.0
1,5,2019,5,0.59,303.0,15.1,47,943,0.0
1,5,2019,6,0.59,322.0,14.7,48,943,0.0
1,5,2019,7,0.78,73.0,14.4,46,943,0.0
1,5,2019,8,0.59,309.0,13.7,50,943,0.0
1,5,2019,9,0.99,71.0,15.5,44,944,0.0
1,5,2019,10,1.12,74.0,16.8,42,944,0.0
1,5,2019,11,1.02,78.0,19.5,40,944,0.0
1,5,2019,12,0.91,32.0,21.9,40,944,0.0
1,5,2019,13,1.11,90.0,22.2,39,943,0.0
1,5,2019,14,1.03,133.0,23.6,34,943,0.0
1,5,2019,15,1.12,125.0,24.3,31,942,0.0
1,5,2019,16,1.2,175.0,26.6,27,941,0.0
1,5,2019,17,1.28,233.0,26.1,28,941,0.0
1,5,2019,18,1.34,284.0,25.9,28,941,0.0
1,5,2019,19,1.94,298.0,24.0,28,941,0.0
1,5,2019,20,1.52,284.0,24.0,27,940,0.0
1,5,2019,21,1.23,307.0,22.1,32,941,0.0
1,5,2019,22,1.49,308.0,20.6,36,941,0.0
1,5,2019,23,0.8,323.0,20.0,38,942,0.0
1,5,2019,24,1.56,223.0,19.6,41,942,0.0
1,5,2020,1,1.95,233.0,13.5,73,950,0.0
1,5,2020,2,1.8,231.0,13.4,75,949,0.0
1,5,2020,3,1.94,222.0,12.9,78,949,0.0
1,5,2020,4,1.47,210.0,12.6,81,949,0.0
1,5,2020,5,1.67,219.0,12.4,82,949,0.0
1,5,2020,6,1.48,221.0,12.2,83,949,0.0
1,5,2020,7,0.86,134.0,11.4,88,949,0.0
1,5,2020,8,0.84,188.0,11.8,86,949,0.0
1,5,2020,9,0.95,201.0,12.5,83,950,0.0
1,5,2020,10,2.03,129.0,13.2,82,950,0.0
1,5,2020,11,2.81,222.0,14.4,78,950,0.0
1,5,2020,12,2.81,236.0,15.9,72,950,0.0
1,5,2020,13,2.44,204.0,17.7,66,950,0.0
1,5,2020,14,2.66,219.0,18.7,63,950,0.0
1,5,2020,15,2.36,201.0,20.0,59,950,0.0
1,5,2020,16,2.21,204.0,21.1,56,950,0.0
1,5,2020,17,2.35,204.0,21.9,54,949,0.0
1,5,2020,18,2.34,210.0,22.4,53,949,0.0
1,5,2020,19,2.42,206.0,22.1,54,949,0.0
1,5,2020,20,2.03,206.0,20.9,59,949,0.0
1,5,2020,21,1.53,206.0,19.4,64,949,0.0
1,5,2020,22,1.66,231.0,18.3,69,950,0.0
1,5,2020,23,1.55,228.0,17.5,73,950,0.0
1,5,2020,24,1.31,198.0,16.8,76,951,0.0
1,5,2021,1,0.68,102.0,11.0,61,940,0.0
1,5,2021,2,0.9,71.0,11.0,62,940,0.0
1,5,2021,3,0.84,69.0,11.2,63,940,0.0
1,5,2021,4,0.61,104.0,10.6,69,940,0.0
1,5,2021,5,0.75,65.0,9.8,72,940,0.0
1,5,2021,6,0.71,242.0,9.2,75,940,0.0
1,5,2021,7,0.54,70.0,8.4,79,940,0.0
1,5,2021,8,0.51,237.0,8.1,82,941,0.0
1,5,2021,9,0.78,243.0,9.4,76,941,0.0
1,5,2021,10,0.64,151.0,10.8,69,942,0.0
1,5,2021,11,0.86,136.0,13.4,59,942,0.0
1,5,2021,12,0.96,15.0,16.0,47,942,0.0
1,5,2021,13,1.23,199.0,15.4,44,942,0.0
1,5,2021,14,1.33,202.0,16.5,41,942,0.0
1,5,2021,15,1.45,202.0,17.3,36,942,0.0
1,5,2021,16,1.5,241.0,16.9,36,942,0.0
1,5,2021,17,1.15,231.0,15.7,40,942,0.0
1,5,2021,18,1.17,235.0,15.4,42,942,0.0
1,5,2021,19,1.0,228.0,16.0,38,942,0.0
1,5,2021,20,1.01,233.0,15.5,39,942,0.0
1,5,2021,21,0.91,228.0,14.9,43,943,0.0
1,5,2021,22,0.76,222.0,14.2,47,944,0.0
1,5,2021,23,0.74,225.0,14.0,47,944,0.0
1,5,2021,24,0.78,246.0,13.4,53,945,0.0
1,6,2019,1,0.52,185.0,23.5,26,950,0.0
